Selection Method, Number of Destinations, Number of Parcels, Distance, Energy
0, 10, 200, 6842.44, 39418.6
2, 10, 200, 3956.69, 18534.9
1, 10, 200, 3708.1, 22849.7
0, 20, 200, 6826.28, 41362
2, 20, 200, 4334.27, 32583.6
1, 20, 200, 9142.02, 62147.1
0, 30, 200, 8185.27, 49530.6
1, 30, 200, 11293.7, 57057.3
2, 30, 200, 5125.98, 22549.1
2, 40, 200, 5076.07, 24022.7
0, 40, 200, 8144.41, 24202.7
1, 40, 200, 12910.8, 78503.7
0, 50, 200, 8350.59, 25310.7
2, 50, 200, 6040.27, 36866.9
1, 50, 200, 16370.4, 88696.2
1, 60, 200, 17122.4, 96944.5
2, 60, 200, 5801.58, 28012.8
0, 60, 200, 8823.71, 26300.3
0, 70, 200, 9423.06, 48185.1
1, 70, 200, 22122.9, 126396
2, 70, 200, 6943.9, 29820.6
2, 80, 200, 6836.71, 30310.8
0, 80, 200, 8614.83, 29335.3
1, 80, 200, 20033.8, 103445
2, 90, 200, 7031.89, 30722
0, 90, 200, 9701.14, 28862.2
1, 90, 200, 24698.7, 115022
0, 100, 200, 8770.04, 45306.1
1, 100, 200, 24950.9, 126504
2, 100, 200, 7614.35, 49296.3
