Selection Method, Number of Destinations, Number of Parcels, Distance, Energy
1, 10, 200, 3708.1, 22849.7
0, 10, 200, 6842.44, 39418.6
2, 10, 200, 4041.36, 19083.2
1, 20, 200, 9142.02, 62147.1
0, 20, 200, 6826.28, 41362
2, 20, 200, 4334.27, 32583.6
1, 30, 200, 11293.7, 57057.3
0, 30, 200, 8185.27, 49530.6
2, 30, 200, 5132.41, 22772.5
2, 40, 200, 5401.59, 25708.2
1, 40, 200, 12910.8, 78503.7
0, 40, 200, 8144.41, 24202.7
2, 50, 200, 6129.41, 38116.2
0, 50, 200, 8350.59, 25310.7
1, 50, 200, 16370.4, 88696.2
2, 60, 200, 6094.37, 28769.5
1, 60, 200, 17122.4, 96944.5
0, 60, 200, 8823.71, 26300.3
2, 70, 200, 7353.58, 30402.1
0, 70, 200, 9423.06, 48185.1
1, 70, 200, 22122.9, 126396
2, 80, 200, 6831.4, 30755.1
0, 80, 200, 8614.83, 29335.3
1, 80, 200, 20033.8, 103445
0, 90, 200, 9701.14, 28862.2
2, 90, 200, 7078.36, 31249.9
1, 90, 200, 24698.7, 115022
0, 100, 200, 8770.04, 45306.1
1, 100, 200, 24950.9, 126504
2, 100, 200, 7260.84, 31721.3
